Vertice,C,254;Hoja_MTN,C,50;Situacion,C,254;Señal,C,254;Referencia,C,50;Referenc_1,C,50;Referenc_2,C,50;Referenc_3,C,50;X_ED50,N,19,11;Y_ED50,N,19,11;X_ETRS89,N,19,11;Y_ETRS89,N,19,11;Z_Ortometr,N,19,11;Altura,N,19,11;AzmVert1Vi,C,50;Nombre1Vis,C,50;AzmVert2Vi,C,50;Nombre2Vis,C,50;AzmVert3Vi,C,50;Nombre3Vis,C,50;AzmVert4Vi,C,50;Nombre4Vis,C,50;Año,N,9,0;Fecha,D
8174;559;En la mitad Norte de la isleta central de la rotonda donde de unen la C/ Arroyo del Fresno y C/ Valle de Pinares Llanos.;Clavo Reglamentario.;Esquina arqueta 4.92;Esquina arqueta 4.63;Semaforo 4.63;Linea blanca 0.41;438180,909;4482227,404;438071,587;4482019,918;646,608;697,628;;8173;;8175;;;;;2006;30/06/2006
8175;559;En el bordillo Norte de la plazoleta de la C/ Arroyo del Fresno, en la unión con la C/ Rosalia de Castro.;Clavo Reglamentario.;Árbol 5.20;Semaforo 7.00;Esquina linea blanca 1.70;Normal a bordillo 0.20;437874,99;4482114,113;437765,667;4481906,63;638,556;689,574;;8174;;8176;;6763;;6913;2006;30/06/2006
6498;559;En la confluencia de la calle Real con Lago de Sanabria y camino de Fuente de Arriba en Vicalvaro, la señal está en la esquina suroeste de una calle peatonal que cruza la calle por su lado suroeste junto al nº 1 del Camino de Fuente Arriba.;Clavo Reglamentario.;Esquina de arqueta   1.37;Señal de tráfico    1,04;Esquina de arqueta    0,66;Piquete baliza   2,48;448438,989;4472906,712;448329,513;4472699,113;686,145;737,213;;6496;;6499;;6505;;;2006;30/06/2006
6499;559;En Vicalvaro, en la confluencia de la C/ Gallegos y la C/ Camino de la Fuente de Arriba.;Clavo Reglamentario.;Esquina registro 6.20;Esquina  registrro 6.20;Señal trafico 3.45;Normal a bordillo 7.45;448263,537;4472870,987;448154,061;4472663,389;672,2;723,261;;6498;;6500;;;;;2006;30/06/2006
6500;559;En el bordillo norte del jardín interior de la rotonda donde acaba la calle de Fuente de Arriba y que es paralela al parque público.  La calle tiene cuatro carriles y separa el parque de la zona urbanizada y se llama Aurora Boreal.;Clavo Reglamentario.;Señal de tráfico   6,26;Farola   12,33;Farola   12,54;Señal de tráfico   8,62;448197,395;4472762,808;448087,918;4472555,212;680,192;731,251;;6499;;6501;;;;;2006;30/06/2006
6501;559;En Vicalvaro, en el bordillo interior de la acera de la Avd/ de la Aurora Boreal, frente al parque.;Clavo Reglamentario.;Esquina alcorque 2.73;Esquina alcorque 2.85;Esquina alcorque 7.85;Esquina alcorque 7.10;448504,917;4472593,138;448395,436;4472385,537;670,57;721,629;;6500;;6502;;;;;2006;30/06/2006
6514;559;En el cruce de las C/ Jose Prat y C/ Indalecio Prieto, en la punta noroeste del cruce, junto al paso de peatones y el semaforo, frente al nº 15 de la C/ Jose Prat.;Clavo Reglamentario.;Semaforo 1.57;Esquina arqueta 2.82;Esquina arqueta 3.76;Señal trafico 5.15;447266,527;4472322,419;447157,045;4472114,835;682,485;733,537;;6513;;6515;;;;;2006;30/06/2006
6515;559;Empotrado en bordillo de acera en el bulebar de la C/ Indalecio Prieto, en su cruce con la C/ Jose Prat.;Clavo Reglamentario.;Esquina alcorque 3.26;Farola 1.62;Esquina alcorque 2.99;Esquina alcorque 2.83;447262,054;4472246,526;447152,571;4472038,942;681,308;732,359;;2615;;6514;;;;;2006;30/06/2006
6516;559;Empotrado en bordillo de acera de la C/ Cordel de Pavones, junto al nº 64, y en la esquina con la C/ Copernico.;Clavo Reglamentario.;Esquina bordillo 4.37;Esquina bordillo 0.36;Esquina rejilla 0.97;Esquina rejilla 1.58;447423,877;4471951,321;447314,39;4471743,735;672,279;723,324;;2615;;6517;;;;;2006;30/06/2006
6517;559;En la esquina sureste del barrio de Vicalvaro. Tiene una calle perimetral, junto a la tapia verja que limita el parque publico. En el bordillo de hormigon, continuacion de una tapia de ladrillo en direccion este.;Clavo Reglamentario.;Esquina tapia verja 1.45;Esquina tapia verja 3.48;Esquina arqueta 3.13;Esquina arqueta 1.26;447384,577;4471797,242;447275,088;4471589,657;667,681;718,724;;6516;;9125;;9124;;5617;2006;30/06/2006
